# Original memory stories. Format: kanji | picture cues | scene title | story
# These are imaginative study aids, not historical etymologies or reading explanations.
# Lesson 0
妹|👧 🌱|Sister still growing|A woman beside an unfinished tree reminds you of your younger sister, who is still growing.
# Lesson 3
休|🧍 🌳|Tree-side rest|A person leans against a tree. Even the kanji is taking a rest.
終|🧵 ❄️|Winter's last stitch|Tie off a thread before winter arrives. The final stitch means the work is finished.
起|🏃 🐍|Get up and go|A winding little shape beside running strokes wakes up, uncoils, and gets moving. Get up!
寝|🏠 🛏️|Sleeping under a roof|Beneath a roof, imagine a bed crowded with blankets and a reaching hand. Everyone is asleep.
働|🧍 🏋️|Person at work|A person stands beside something heavy and uses strength to move it. That is work.
勉|🐇 💪|Rabbit's effort|Imagine a rabbit-like shape pushing with a strong arm. It must strive hard to finish.
強|🏹 🐛|Strong bow|A tiny insect tries pulling a huge bow. Imagine how strong that insect must be.
今|🏠 ⏱️|Now under the roof|A roof shelters a tiny clock hand. It points to just one moment: now.
半|🍰 🔪|Cut in half|A vertical knife slices through a cake's horizontal layers. Each side gets half.
分|✂️ 🍰|Divide the portions|Two portions spread apart above a blade. Use the blade to divide them fairly.
後|🚶 🧵|Following the trail|A walker follows a twisted thread and a footprint. They come after the person ahead.
午|☀️ 🕛|Noon signpost|Picture a short-topped signpost with the sun directly above it. No shadow means noon.
朝|🌅 🌙|Morning handover|The sun appears among crossing branches while the moon lingers beside it. Morning has arrived.
昼|☀️ 📏|Daylight below|A sun sits above the ground beneath a stretched upper shape. Daytime lights everything below.
晩|☀️ 🐇|Evening rabbit|The sun watches a rabbit-like shape settle down. Its hopping day ends in the evening.
夜|🌃 🚶|Night walker|A roof of darkness covers a person taking careful steps. Imagine walking home at night.
# Lesson 4
行|🚶 🛣️|Road crossing|Two sides of a crossing make a route through the middle. Choose a path and go.
来|🌳 🚶|Come to the tree|A tree seems to wave extra branches like welcoming arms. “Come over here,” it says.
帰|🚶 🧹|Home to the broom|After walking all day, you see a broom waiting at home. You have returned.
戻|🚪 🧍|Back through the door|A big person ducks beneath a door-shaped top, then turns around to go back.
歩|👣|Small steps|Imagine one foot stopping above several small steps. Add those steps together and you walk.
会|🏠 ☁️|Cloud meeting|People meet beneath a roof to watch a little cloud. Everyone gathers in one place.
社|🛕 🟫|Shrine on the soil|A sacred marker stands beside a mound of soil. That spot becomes a shrine.
員|🗣️ 🪙|Member's contribution|A mouth speaks above a shell-shaped token. Each member contributes a voice and a token.
店|🏠 🔮|Shop under a shelter|A fortune-teller sets up beneath a shelter with a sign. Their little store is open.
駅|🐎 📏|Horse at the station|A horse stops beside a measuring post. This station lets tired travelers change horses.
電|🌧️ ⚡|Storm spark|Rainclouds hang over a box with a curling tail. A spark shoots down: electricity!
車|🚗|Wheels and axle|Look down on a cart: a middle body, a long axle, and wheels across the ends.
気|🌬️ ✨|Swirling energy|Air curls around a little crossing spark. Imagine taking a breath and feeling that energy.
語|🗣️ 🖐️|Five-part story|Words gather beside five and a mouth. Tell a story with five things to say.
国|🧱 💎|Country's treasure|A boundary surrounds a precious jewel. The country keeps its treasure inside its borders.
毎|📅 👩|Every visit|Picture a familiar mother-shaped figure with a small cap. Visit that familiar face every day.
# Lesson 5
読|🗣️ 🏪|Read the sale sign|Words stand beside a seller's sign. Read the words before buying anything.
書|🖌️ ☀️|Writing by daylight|A brush stacks ink strokes above a sunny page. Keep writing until the page is full.
見|👁️ 🦵|Walking eye|An eye grows two legs and walks around. Wherever it goes, it looks and sees.
聞|🚪 👂|Ear at the gate|An ear waits inside a gate. Listen carefully to hear who is arriving.
買|🛒 🐚|Basket of shells|A shopping basket sits above a shell-shaped payment token. Hand over the token to buy.
売|🛍️ 🦵|Seller's stall|A little counter stands above two legs. The seller waits behind it to sell their goods.
食|🏠 🍚|Meal under a roof|A pointed cover protects a stack of food. Lift it when you are ready to eat.
飲|🍚 😮|Thirst after food|After eating, a yawning person opens their mouth for water. They need a drink.
吸|👄 🧲|Mouth pulls inward|A mouth sits beside a reaching shape. Picture it sucking everything inward like a tiny vacuum.
物|🐄 🎁|Cow's belongings|A cow stands beside a bundle of curved straps. Those strange belongings are its things.
果|🌳 🍎|Fruit above the tree|A box-shaped fruit grows above a tree trunk. Reach up and pick that oversized fruit.
肉|🥩|Meat in a package|Two little person-like shapes sit inside a wrapper. Imagine the folds of sliced meat.
魚|🐟 🔥|Fish over flames|A fish has a head, a boxed body, and four little cooking flames below.
卵|🥚 🥚|Pair of eggs|Picture two hanging eggs, each holding a tiny dot of yolk. Handle them gently.
茶|🌿 ☕|Tea beneath leaves|Leaves cover a little shelter and a tree-like base. Brew those fresh leaves into tea.
酒|💧 🍶|Bottle of liquor|Water drops splash beside a bottle-shaped jar. This special drink is liquor.
# Lesson 6
切|🪝 🔪|Hook and blade|A hook holds a rope steady while a blade cuts it. One clean cut releases it.
送|🎁 🚶|Send it along|Imagine a gift with two ribbon ends riding along a winding road. Send it to a friend.
貸|🧍 🐚|Lending the token|A person stands above a valuable shell token. They lend it, expecting it back later.
借|🧍 🕰️|Borrowed old treasure|A person stands beside something old. They borrow the old treasure instead of keeping it.
教|👴 👶|Teach the child|An older figure and a child sit beside a guiding hand. The elder teaches patiently.
習|🪽 ☀️|Learning to fly|Wings spread above a bright white practice space. A young bird repeats its flying lesson.
花|🌿 🦋|Flower transformation|Grass-like leaves sit above a changing shape. Imagine a bud transforming into a flower.
野|🌾 🪧|Open field sign|A village-like grid stands beside a crooked signpost. Beyond that sign lies the open field.
菜|🌿 🧺|Picked vegetables|Leaves sit above a reaching hand and a tree. Pick the edible greens for vegetables.
薬|🌿 🎶|Healing tune|Herbs grow over a cheerful music-like shape. Imagine medicine that makes you hum with relief.
葉|🌿 🌳|Leafy shelves|Plants spread over a shelf and tree-like base. Every shelf is covered with leaves.
庭|🏠 🚶|Garden walkway|A shelter curves over a long stepping path. Follow it through the garden.
海|💧 📅|Sea every day|Water stands beside every. Imagine enough water to visit a different wave every day: the sea.
天|🧍 ☁️|Sky above a person|A big person stretches under a high horizontal line. Above that line are the heavens.
空|🕳️ 🏗️|Empty sky workshop|An opening rests above a beam-shaped tool. Imagine building a workshop in the empty sky.
雨|🌧️|Rain in a window|Four drops fall beneath a broad cloud into a window-shaped space. Watch the rain.
# Lesson 7
大|🧍 🙌|Big stretch|A person spreads both arms and legs as wide as possible. “I am this big!”
小|🤏|Tiny middle|A short central mark stands between two tiny dots. Everything here is small.
多|🌙 🌙|Many evenings|One evening-shaped mark stacks on another. Keep stacking them until you have many evenings.
少|🤏 💨|Fewer pieces|Start with a small amount, then brush one stroke away. Only a few pieces remain.
新|🌳 🪓|Freshly cut tree|A standing tree meets an axe-shaped tool. Fresh wood becomes something new.
古|🔟 👄|Old tale|Ten sits above a mouth. A tale told by ten generations of mouths is old.
安|🏠 😌|Affordable shelter|Someone rests peacefully beneath a roof. Imagine relief at finding a safe, cheap place to stay.
高|🏢|Tall tower|A roof, a window, and another doorway stack into a tower. Look how high it reaches.
低|🧍 ⬇️|Person ducks low|A person stands beside a shape that bends toward a bottom line. Duck low to follow it.
長|🧣|Long trailing scarf|Imagine a striped scarf with a long tail curling away below. It belongs to the chief.
短|🏹 🫘|Short arrow|An arrow stands beside a little bean-shaped bowl. That arrow is only as tall as beans.
悪|🖤 🚧|Bad feeling|A blocked, crooked structure weighs on a heart below. Something about this feels bad.
楽|🎵 🌳|Music in the tree|A tree carries a bright center and dancing sparks. It plays music just for fun.
所|🚪 🪓|Marked place|A door stands beside an axe. Mark that doorway with the axe so you remember the place.
道|🛣️ 👤|Head down the road|A head follows a winding road. Keep your head pointed along the right way.
町|🌾 🪧|Town by the fields|Rice fields stand beside a street sign. Houses gather there until a town forms.
# Lesson 8
好|👩 👶|Favorite company|A woman and a child stand together. Imagine two people who really like each other's company.
上|⬆️|Above the line|A little marker rises from the ground line. Its short branch points to the space above.
下|⬇️|Below the ceiling|A little marker hangs from a top line. Its short branch points down below.
早|☀️ 🪧|Early sunrise|The sun rises over a little cross-shaped marker. You are awake early enough to see it.
速|📦 🛣️|Fast delivery|A tied bundle races along a road. The delivery must be fast.
料|🍚 🥄|Measured rice fee|Rice sits beside a measuring scoop. Pay a fee for each scoop of material.
理|💎 🌾|Orderly reasoning|A jewel sits beside a neatly divided field. Imagine arranging every fact into a logical plot.
音|🧍 ☀️|Sound at sunrise|A person stands above a sun-shaped drum. Strike the drum and hear its sound.
歌|🎤 🎤|Two singers|Two matching box-and-hook shapes face a wide-open mouth. Picture a duet bursting into song.
絵|🧵 🤝|Threads meet in art|Threads gather for a meeting. Together their colors make a drawing.
字|🏠 👶|Child's first character|A child sits under a roof, carefully practicing a written character on the floor.
間|🚪 ☀️|Light between doors|Sunlight shines between two gate panels. Notice the space in between.
主|👑 🕯️|Master's candle|A little flame sits atop a king-like stand. The master keeps the main candle lit.
夫|🧍 🧢|Husband's hat|A big person wears an extra horizontal hat. Imagine your husband never leaving without it.
妻|👩 🧹|Wife's striped umbrella|Imagine a woman beneath a striped umbrella. Her partner recognizes the umbrella: there is my wife.
奥|🚪 🍚|Rice at the back|Peer through a narrow opening at rice tucked deep inside. It is stored at the back.
# Lesson 9
右|✋ 👄|Right-hand snack|Imagine a hand above a mouth bringing over a snack. Use your right hand to eat it.
左|✋ 🏗️|Left-hand tool|Imagine a hand above an I-shaped tool. Hold the tool steady with your left hand.
中|🎯|Straight through the middle|A vertical line passes straight through the center of a box. It hits the middle.
外|🌙 🪧|Outside after dusk|An evening shape stands beside a signpost. You have stepped outside after sunset.
近|🪓 🛣️|Axe along the path|You see an axe beside the road and hear chopping. The woodcutter must be near.
犬|🐕 ✨|Dog's spotted ear|A big, spread-legged shape gains a little spot near its head. Picture a dog with a spotted ear.
猫|🐈 🌱|Cat in the seedlings|An animal slips beside seedlings growing over a field. A cat is hiding among the plants.
鳥|🐦|Bird on tiny feet|Picture a bird's head, folded body, and dangling tail above four little marks for feet.
箱|🎋 👁️|Bamboo box|Bamboo covers a tree and an eye. Peek into the bamboo box to see what is inside.
窓|🪟 ❤️|Heart at the window|An opening sits over a curled shape and a heart. Imagine watching someone you love through a window.
公|👥 📣|Open to everyone|Two spreading strokes open above a little enclosed shape. Open the private space to the public.
園|🧱 🌷|Walled garden|A large boundary surrounds a busy little arrangement. Picture plants and paths inside a walled garden.
全|🏠 👑|All under one roof|A roof covers a king-like shape. Imagine all the kingdom gathered beneath that single roof.
部|🏢 🪧|Department entrance|A sign and a mouth-shaped doorway sit beside a tall boundary. This entrance serves one department.
屋|🏠 🛍️|Shop beneath the roof|A low roof shelters a compact indoor shape. Duck inside the room and find a shop.
県|👁️ 🗺️|Prefecture map|A boxed eye sits on a stand with spreading legs. Imagine a surveyor mapping the prefecture.
# Lesson 10
両|🧺 🧺|Both baskets|A roof covers two matching supports inside a frame. Imagine carrying a basket on both sides.
親|🌳 👁️|Watching parent|A parent stands by a tree and watches. Their eye stays on the child climbing it.
遠|🛣️ 🧳|Faraway traveler|A crowded bundle travels along a long winding road. Imagine how far it still has to go.
暑|☀️ ☀️|Sun piled high|A sun sits above another sun tucked among strokes. Double sunshine makes the day hot.
熱|🔥 🏺|Heat under the pot|Picture a crowded cooking pot balanced over four flames. Feel the heat rising from below.
厚|🪨 👶|Thick shelter|A cliff-like roof protects a sun and a child. Imagine how thick that protective rock must be.
寒|🏠 🧊|Cold house|Under a roof, bundled strokes huddle together. Two icy marks below make the whole house cold.
冷|🧊 📜|Icy order|Ice marks stand beside an order-shaped sign. The order says, “Keep this cold.”
太|🧍 🍩|Extra belly|A big person gains one extra dot at the belly. Picture a very round, thick middle.
細|🧵 🌾|Fine field lines|A thread runs beside a divided field. Its boundary lines are as thin as that thread.
遅|🐑 🛣️|Slow sheep trip|Imagine a sheep tucked under a cover on a winding road. This slow trip makes you late.
甘|🍯|Sweet pot|A little open pot holds a horizontal spoonful of honey. Taste how sweet it is.
辛|🌶️ 🪡|Spicy prickles|A cap tops a sharp crossing shape. Imagine a chili so spicy it prickles like needles.
重|📚 🏋️|Heavy stacked shelves|Many horizontal shelves pile onto one upright support. The overloaded stack is heavy.
軽|🚗 🪶|Light cart|A cart carries a small, airy bundle beside it. With so little cargo, it feels light.
市|🎪 🏙️|City market canopy|A market canopy hangs from a tall post. Picture a whole city growing around that market.
# Lesson 11
季|🌾 👶|Growing season|A grain stalk shelters a child. Watch both grow as one season turns into another.
節|🎋 🦴|Bamboo joints|Bamboo sits over a bent, jointed shape. Feel the sections between each bamboo node.
春|🌱 ☀️|Spring sunshine|A sun pushes upward beneath layers of sprouting strokes. Spring brings everything back to life.
夏|☀️ 👣|Long summer stroll|Imagine a large sunhat over a face and wandering feet. A summer walk lasts all afternoon.
秋|🌾 🔥|Autumn colors|Grain stands beside fire. Imagine autumn fields glowing red and gold like flames.
冬|🧣 ❄️|Winter scarf|A folded scarf hangs over two icy marks. Wrap up before stepping into winter.
雪|🌧️ 🧹|Sweep the snow|Rainclouds sit above a broom-like shape. The rain has frozen, so sweep away the snow.
降|⛰️ 👣|Steps falling downward|A steep side stands beside descending steps. Imagine walking down as snow starts to fall.
雷|🌧️ 🌾|Thunder over fields|A storm cloud hangs over a rice field. Thunder shakes every square of the field.
雲|🌧️ ☁️|Cloud upon cloud|A raincloud sits above a curling cloud shape. Imagine clouds piling up before a storm.
曇|☀️ ☁️|Sun disappears|The sun sits above a mass of clouds. They spread until the whole sky is cloudy.
港|💧 🚢|Harbor lane|Water lies beside a packed little alley of shapes. Picture boats crowding into a port.
世|👨‍👩‍👧 🕰️|Generations lined up|Three upright shapes share a long base. Imagine three generations living in the same world.
界|🌾 🧍|World beyond the field|A field sits above a person-like divider. Step across its boundary into the wider world.
祭|🍗 🎉|Festival offering|Imagine hands arranging an offering above a sacred stand. Everyone gathers for the festival.
牛|🐄|Cow's horns|A vertical head has a short slanted horn and broad crossing strokes. Picture a cow facing you.
# Lesson 12
遊|🚩 👶|Child at play|A child follows a waving flag along a winding path. The whole journey is play.
泳|💧 ♾️|Swim forever|Water stands beside a long-flowing shape. Imagine swimming through a pool that seems to last forever.
迎|🚶 🤝|Welcome along the path|Two facing shapes meet beside a road. One has walked out to welcome the other.
疲|🤒 🛌|Tired skin|A sickbed-shaped frame covers a skin-like shape. Your whole body feels tired, right down to the skin.
結|🧵 🎀|Lucky knot|Thread sits beside a good-luck shape. Tie that lucky thread into a firm knot.
婚|👩 🌇|Wedding at dusk|A woman stands beside a dusk-like arrangement. Imagine a marriage ceremony just as daylight fades.
事|📋 🖊️|Thing to do|A busy stack of strokes hangs from one long line. Picture a clipboard full of things to do.
変|🎩 👣|Strange change|A tiny hat sits above dangling strokes and moving feet. Change costumes and become someone strange.
散|🍃 ✋|Scatter the leaves|A packed bundle stands beside a striking hand. One tap scatters its leaves everywhere.
広|🏠 ↔️|Wide shelter|A sloping shelter covers only one small curled object. There is plenty of wide, empty space.
狭|🐕 🚪|Narrow squeeze|An animal faces a tightly packed shape. Picture a dog squeezing through a narrow passage.
正|➖ 🛑|Correct stopping line|A stopping shape sits under a straight line. Stop exactly at that line to be correct.
末|🌳 🔝|End of the branch|A tree has an extra-long top line. Your eye travels to the far end of that branch.
豚|🌙 🐖|Pig by moonlight|A moon-like side stands beside a pig-shaped body. Imagine a pig strolling under the moon.
方|🧭 🚩|Direction flag|A flag hangs from a pole with a dot above. Follow the direction in which it points.
消|💧 🕯️|Water erases flame|Water splashes beside a small-topped shape. Imagine pouring it on a candle until the flame vanishes.
# Lesson 13
開|🚪 🙌|Push the gates open|Two hands seem to brace inside a gate. Push outward and open both doors.
閉|🚪 🪵|Bar the gate|A little brace blocks the inside of a gate. Slide it into place to close up.
急|🏃 ❤️|Heart in a hurry|A hooked top and compressed middle press down on a heart. It beats faster when you hurry.
待|🚶 🛕|Wait at the temple|A walker reaches a temple and pauses. Wait here until the bell rings.
持|✋ 🛕|Hold the temple model|A hand stands beside a temple. Imagine holding a tiny temple carefully in your palm.
取|👂 ✋|Take by the handle|A hand reaches toward an ear-shaped handle. Take hold of it and lift.
手|✋|Hand's fingers|Several finger-like lines cross one curving wrist. Open that hand and count its fingers.
伝|🧍 ☁️|Carry the cloud message|A person whispers to a cloud. The cloud floats away to convey the message.
呼|👄 📣|Call across the field|A mouth stands beside a tall, flared shape. Imagine a loudspeaker carrying your call.
話|🗣️ 👅|Tongue makes words|Words stand beside a tongue. Let your tongue move and speak those words aloud.
使|🧍 🛠️|Person uses a tool|A person stands beside a long-handled shape. Imagine them using a tool to get work done.
止|🦶 🛑|Foot comes to a stop|A toe-like branch rises above a firm bottom line. Plant your foot there and stop.
座|🏠 🧑‍🤝‍🧑|Seats under a shelter|Two people settle on the ground beneath a shelter. Both have found somewhere to sit.
立|🧍|Stand on a platform|A small head tops a broad stance on a platform. Imagine someone standing perfectly upright.
入|🚶 🚪|Lean into the entrance|Two strokes lean together like someone ducking through a doorway. Bend slightly and enter.
出|⛰️ ⛰️|Out beyond the peaks|One mountain-shaped ridge rises above another. Climb past both and go out into the open.
# Lesson 14
置|🕸️ 📏|Put it straight|A net hangs above a straight, upright shape. Put everything in its proper place beneath it.
作|🧍 🪚|Person makes a shelf|A person works beside a stack of short ledges. Imagine making a shelf one piece at a time.
知|🏹 👄|Answer on target|An arrow stands beside a mouth. When you know the answer, your words hit the target.
住|🧍 🕯️|Person at home|A person stands beside the master's candle. Imagine the place where that person lives.
研|🪨 👐|Sharpen on stone|A stone sits beside two working hands. Rub a blade across it until it is sharp.
究|🕳️ 🔎|Research the hole|An opening shelters a curled, nine-like shape. Investigate the mystery hidden inside that hole.
服|🌙 ✋|Clothes at bedtime|A moon-like shape stands beside a reaching arm. Fold your clothes when the moon appears.
品|📦 📦|Stacked goods|Three boxes stack into a little pyramid. Each box contains another product for sale.
辞|👅 🌶️|Bitter resignation|A tongue stands beside something sharp and spicy. Saying “I quit” leaves a bitter taste.
経|🧵 🛤️|Thread through time|A thread runs beside a winding route. Follow it as the hours pass.
済|💧 ✅|Wash and finish|Water stands beside a tidy, level arrangement. Wash everything and put it neatly away: finished.
歯|🦷 🍚|Rice between teeth|A mouth-like enclosure holds rice-shaped bits beneath a stopping shape. Pick the rice from your teeth.
医|🧰 🏹|Doctor's toolbox|An open box contains an arrow. Imagine a doctor's box holding tools to remove that arrow.
者|👤 ☀️|Person in the sun|A sun sits below crossing strokes. Picture the person standing there, casting a layered shadow.
身|🧍 🪞|Outline of a body|A narrow outline contains several ribs and one sweeping leg. Trace your own body in a mirror.
画|🖼️ 🌾|Framed picture|A divided field fits inside a frame. Draw each square to make a picture.
# Lesson 15
乗|🌳 🧍|Ride the giant branch|A tall tree-like shape has extra platforms. Climb onto one and ride as it sways.
浴|💧 🏞️|Valley bath|Water flows beside a valley-shaped opening. Imagine taking a bath in a warm valley pool.
押|✋ 🔘|Press the button|A hand reaches toward a box pierced by a vertical line. Push it like a large button.
引|🏹 🪢|Pull the bow|A straight string stands beside a bent bow. Pull the string back slowly.
始|👩 🎭|Begin on stage|A woman steps beside a small platform. When she steps onto it, the performance begins.
若|🌱 👉|Young shoots|Fresh leaves grow above a reaching shape. Imagine young hands picking the youngest shoots.
明|☀️ 🌙|Sun and moon together|The sun and moon shine side by side. With both switched on, everything is bright.
暗|☀️ 🔊|Sound in the dark|The sun sits beside sound. Imagine the sun going out, leaving only sounds in the dark.
体|🧍 🌳|Body's tree frame|A person stands beside a tree marked at its base. Picture your body supported by a sturdy trunk.
頭|🫘 👤|Bean-shaped head|A little bean bowl stands beside a head-shaped form. Picture someone balancing beans on their head.
髪|💇 🤝|Friendly hair|Long strands and three wisps hover over a friend-like shape. A friend helps arrange your hair.
顔|〰️ 👤|Face and whiskers|A head-shaped side meets three wispy strokes. Imagine whiskers framing a familiar face.
目|👁️|Eye turned upright|Turn a long eye upright and put two lines inside for its lids. Look closely.
耳|👂|Ear's folds|A tall outer edge contains short horizontal folds. Imagine tracing the ridges of your ear.
鼻|👃 👁️|Nose below the eyes|An eye-like top sits over a boxed middle and flared bottom. Imagine a long nose ending in nostrils.
口|👄|Open square mouth|Make your mouth into a wide, square opening. One simple outline is enough.
# Lesson 16
首|👤 🧣|Head on a neck|Two little hairs sit above a tall face-like box. Picture a neck holding that head upright.
背|🧍 🧍|Back to back|Two figures turn away above a body-like base. They are standing back to back.
心|❤️|Heart's little beats|A curving center is surrounded by three little beats. Imagine your heart pulsing with each mark.
指|☝️ 🍪|Point at the treat|A hand stands beside a tasty-looking shape. Your finger points straight at the treat.
足|👄 🦶|Foot below the body|A small box sits above a stepping lower shape. Follow the body down to its foot.
覚|💡 👁️|Wake up and notice|Sparks flash above a covered eye with legs. Wake up, look closely, and remember what you see.
忘|💨 ❤️|Thought leaves the heart|A disappearing shape sits above a heart. The thought slips away and you forget.
払|✋ 🪙|Pay with a flick|A hand flicks a tiny curled token away. Imagine paying by sliding a coin across the counter.
返|↩️ 🛣️|Turn back on the road|A turning shape rides along a winding road. Reverse direction and return home.
配|🍶 🐍|Distribute the bottles|A bottle stands beside a curled shape. Imagine a winding delivery line distributing bottles to everyone.
残|🦴 ✂️|What remains|A bone-like fragment sits beside slashing strokes. After everything is cut away, this fragment remains.
業|🏭 🪵|Busy factory stack|A rack of upright tools stands over a dense base. Imagine an industry working all day.
危|⛰️ 🧎|Danger at the cliff|A tiny figure crouches below a cliff-like bend. One wrong step would be dangerous.
禁|🌳 🌳|Forbidden grove|Two trees stand above a sacred marker. A sign beneath them says this grove is prohibited.
煙|🔥 🏭|Smoke from the fire|Fire burns beside a squat building-like shape. Picture smoke curling out of its chimney.
病|🤒 🛏️|Sickbed frame|A shelter-shaped frame covers a figure tucked inside. Imagine someone staying in bed with sickness.
# Lesson 17
院|🧱 🏠|Building behind the wall|A tall wall stands beside a complete roofed shape. Picture a building enclosed by its grounds.
洗|💧 🏃|Wash before going ahead|Water splashes beside the one who goes first. Wash your hands before going ahead to eat.
発|👣 🚀|Feet at departure|A pair of spreading feet tops a launch-like base. Push off and depart.
集|🐦 🌳|Birds gather|A bird settles on a tree. Imagine more birds arriving until the whole flock has gathered.
捨|✋ 🏠|Discard outside the house|A hand reaches beside a little house-shaped form. Carry unwanted things outside and throw them away.
運|🛣️ 🚚|Covered cart|A covered cart travels along a winding road. Its job is to transport everything inside.
転|🚗 ☁️|Cart wheels turn|A cart rolls beside a curling cloud. Imagine its wheels rotating as the cloud curls.
予|🪝 📅|Hook set beforehand|Several hooked strokes connect like a prepared hanging rack. Set it up beforehand for tomorrow's coat.
約|🧵 🤝|Promise tied in thread|A thread loops around a small hooked mark. Tie a knot to remember your agreement.
現|💎 👁️|Jewel appears|A jewel stands beside an eye on legs. When the eye finds it, the jewel appears.
味|👄 🌱|Taste the new shoot|A mouth stands beside a not-yet-grown tree. Taste the young shoot and notice its flavor.
記|🗣️ 🌀|Words on a scroll|Words sit beside a curled shape. Imagine recording those words on a rolled-up scroll.
祈|🙏 🪓|Prayer beside the tool|A sacred marker stands beside an axe-shaped tool. Pray for a safe day's work.
課|🗣️ 🍎|Lesson bears fruit|Words stand beside fruit. A good lesson gives you words that bear fruit later.
動|🏋️ 💪|Move the heavy load|Something heavy stands beside strength. Use that strength to make the heavy thing move.
特|🐄 🛕|Special temple cow|A cow stands beside a temple. Imagine the one special cow allowed inside.
# Lesson 18
馬|🐎|Horse's mane and feet|A comb-like mane runs down a long body. Four little marks below become the horse's hooves.
